algorithm;filename;num_vertex;min_path;milisec;cost
BruteForce;data/FIS5-0.txt;5;0,2,1,4,3;0;18430
BruteForce;data/FIS5-1.txt;5;0,1,3,2,4;0;22351
BruteForce;data/FIS5-2.txt;5;0,1,4,2,3;0;15356
BruteForce;data/FIS5-3.txt;5;0,1,4,2,3;0;21245
BruteForce;data/FIS5-4.txt;5;0,1,4,3,2;0;19418
BruteForce;data/FIS6-0.txt;6;0,1,2,5,3,4;0;15576
BruteForce;data/FIS6-1.txt;6;0,1,3,2,4,5;0;19436
BruteForce;data/FIS6-2.txt;6;0,1,4,5,3,2;0;23991
BruteForce;data/FIS6-3.txt;6;0,2,4,1,3,5;0;13819
BruteForce;data/FIS6-4.txt;6;0,4,2,1,3,5;0;16139
BruteForce;data/FIS7-0.txt;7;0,5,2,4,1,3,6;1;16355
BruteForce;data/FIS7-1.txt;7;0,2,6,1,4,5,3;1;20251
BruteForce;data/FIS7-2.txt;7;0,2,1,3,4,6,5;1;8243
BruteForce;data/FIS7-3.txt;7;0,2,5,4,6,1,3;1;19494
BruteForce;data/FIS7-4.txt;7;0,1,3,4,6,2,5;1;24395
BruteForce;data/FIS8-0.txt;8;0,3,5,2,1,6,4,7;15;19668
BruteForce;data/FIS8-1.txt;8;0,3,6,5,4,2,1,7;15;17845
BruteForce;data/FIS8-2.txt;8;0,3,1,6,5,7,2,4;15;12652
BruteForce;data/FIS8-3.txt;8;0,3,4,1,2,5,7,6;16;15018
BruteForce;data/FIS8-4.txt;8;0,5,6,4,2,1,3,7;15;19030
BruteForce;data/FIS9-0.txt;9;0,4,5,6,1,3,2,7,8;151;19211
BruteForce;data/FIS9-1.txt;9;0,3,2,5,4,8,7,1,6;151;25376
BruteForce;data/FIS9-2.txt;9;0,2,3,4,6,8,1,5,7;153;29033
BruteForce;data/FIS9-3.txt;9;0,1,3,5,6,4,8,2,7;153;17895
BruteForce;data/FIS9-4.txt;9;0,1,4,7,2,6,3,8,5;153;18675
BruteForce;data/FIS10-0.txt;10;0,1,7,6,8,2,4,5,9,3;1542;17971
BruteForce;data/FIS10-1.txt;10;0,3,8,6,9,1,7,5,2,4;1596;19192
BruteForce;data/FIS10-2.txt;10;0,1,5,7,9,8,4,6,2,3;1604;22022
BruteForce;data/FIS10-3.txt;10;0,2,4,3,9,5,1,7,6,8;1574;14404
BruteForce;data/FIS10-4.txt;10;0,4,6,5,2,1,9,8,3,7;1595;15170
BruteForce;data/FIS11-0.txt;11;0,2,5,9,1,6,8,10,7,3,4;18464;19179
BruteForce;data/FIS11-1.txt;11;0,2,1,5,4,8,10,6,9,3,7;18547;22379
BruteForce;data/FIS11-2.txt;11;0,9,6,4,8,7,3,1,5,2,10;18438;23672
BruteForce;data/FIS11-3.txt;11;0,6,1,4,9,7,8,5,2,3,10;18281;23243
BruteForce;data/FIS11-4.txt;11;0,1,2,3,5,7,10,8,9,6,4;18461;20913
BruteForce;data/FIS12-0.txt;12;0,2,3,10,8,7,5,6,11,9,1,4;229225;23875
BruteForce;data/FIS12-1.txt;12;0,1,4,10,6,11,9,5,8,7,2,3;236104;25024
BruteForce;data/FIS12-2.txt;12;0,9,1,11,6,4,5,3,2,8,7,10;236766;28677
BruteForce;data/FIS12-3.txt;12;0,6,2,11,4,7,1,3,8,5,9,10;238009;19391
BruteForce;data/FIS12-4.txt;12;0,2,8,6,10,7,1,3,9,5,4,11;237466;24669
BruteForce;data/FIS13-0.txt;13;0,3,10,4,12,11,7,5,6,1,9,2,8;3.15402e+06;21813
BruteForce;data/FIS13-1.txt;13;0,3,12,5,1,7,10,9,2,4,11,8,6;3.16642e+06;27120
BruteForce;data/FIS13-2.txt;13;0,1,2,7,5,11,12,3,4,8,9,10,6;3.16819e+06;22463
BruteForce;data/FIS13-3.txt;13;0,8,5,9,11,7,2,3,6,12,1,4,10;3.15209e+06;16817
BruteForce;data/FIS13-4.txt;13;0,1,8,5,9,11,12,7,10,4,2,6,3;3.19053e+06;18826
BruteForce;data/FIS14-0.txt;14;0,4,6,5,8,9,12,2,1,3,7,10,13,11;4.56315e+07;24042
BruteForce;data/FIS14-1.txt;14;0,4,13,9,3,1,5,2,11,7,10,6,8,12;4.59922e+07;31600
BruteForce;data/FIS14-2.txt;14;0,1,3,9,5,10,8,11,7,6,2,13,12,4;4.51363e+07;25265
BruteForce;data/FIS14-3.txt;14;0,5,8,6,2,1,11,4,13,10,12,9,3,7;4.52687e+07;22374
BruteForce;data/FIS14-4.txt;14;0,5,1,13,2,3,4,6,11,10,9,7,12,8;4.46444e+07;27044
