algorithm;filename;num_vertex;min_path;milisec;cost
NearestNeighborhood;data/FIS17-2.txt;17;13,0,14,10,12,7,16,15,11,4,2,5,9,6,8,3,1;0;42249
NearestNeighborhood;data/FIS17-3.txt;17;3,10,16,6,4,13,2,14,7,0,5,11,9,8,12,1,15;0;51161
NearestNeighborhood;data/FIS17-4.txt;17;13,16,1,8,14,7,15,2,12,5,4,10,9,0,6,3,11;0;52756
NearestNeighborhood;data/FIS18-0.txt;18;9,1,11,17,14,2,15,5,16,10,6,7,12,3,8,13,0,4;0;45081
NearestNeighborhood;data/FIS18-1.txt;18;10,9,15,3,6,7,12,1,16,4,17,11,5,13,2,14,0,8;0;47527
NearestNeighborhood;data/FIS18-2.txt;18;11,1,16,5,8,3,6,15,17,9,13,7,2,0,14,10,4,12;0;45790
NearestNeighborhood;data/FIS18-3.txt;18;3,0,14,1,13,17,2,4,10,16,8,12,9,15,5,6,11,7;0;71485
NearestNeighborhood;data/FIS18-4.txt;18;7,4,13,0,17,9,10,8,2,12,1,11,6,5,15,3,14,16;0;64084
NearestNeighborhood;data/FIS19-0.txt;19;4,5,10,13,15,1,17,12,3,16,0,8,7,11,2,18,14,9,6;0;35005
NearestNeighborhood;data/FIS19-1.txt;19;12,8,14,16,3,13,6,18,2,9,4,0,17,10,7,11,5,1,15;0;66272
NearestNeighborhood;data/FIS19-2.txt;19;6,4,1,14,10,2,18,15,12,8,3,16,11,17,5,0,13,7,9;0;51521
NearestNeighborhood;data/FIS19-3.txt;19;15,12,3,16,8,1,18,2,11,13,9,17,7,10,14,0,6,5,4;0;65547
NearestNeighborhood;data/FIS19-4.txt;19;11,16,10,13,18,15,1,2,6,5,8,4,12,3,7,17,0,9,14;0;58769
NearestNeighborhood;data/FIS20-0.txt;20;10,17,13,14,3,15,7,8,5,18,9,1,11,0,16,2,4,6,12,19;0;61919
NearestNeighborhood;data/FIS20-1.txt;20;11,0,12,8,4,7,9,6,13,18,15,19,17,16,2,3,14,1,10,5;0;65685
NearestNeighborhood;data/FIS20-2.txt;20;6,13,11,10,19,7,12,8,5,18,16,9,4,15,2,14,0,17,3,1;0;79697
NearestNeighborhood;data/FIS20-3.txt;20;4,11,13,14,6,17,18,10,5,8,0,1,3,12,2,19,7,16,9,15;0;66352
NearestNeighborhood;data/FIS20-4.txt;20;19,8,1,15,14,10,7,18,12,16,17,2,5,3,6,11,4,13,9,0;0;44251
NearestNeighborhood;data/FIS21-0.txt;21;16,0,17,9,10,8,13,1,5,15,20,7,2,18,6,19,11,4,3,14,12;0;63597
NearestNeighborhood;data/FIS21-1.txt;21;6,0,12,16,13,7,9,17,11,15,18,1,8,10,2,19,4,3,14,20,5;0;71691
NearestNeighborhood;data/FIS21-2.txt;21;20,0,16,1,17,7,18,13,3,11,5,19,8,9,4,10,2,6,14,15,12;0;55933
NearestNeighborhood;data/FIS21-3.txt;21;11,3,10,17,16,6,20,2,14,18,8,9,5,7,0,13,15,12,1,4,19;0;54506
NearestNeighborhood;data/FIS21-4.txt;21;7,14,4,13,8,17,11,20,16,5,10,2,19,6,1,3,18,15,9,0,12;0;57209
NearestNeighborhood;data/FIS22-0.txt;22;12,15,13,1,10,4,2,11,17,18,6,3,5,21,8,0,19,7,20,9,14,16;0;69373
NearestNeighborhood;data/FIS22-1.txt;22;1,13,5,3,17,14,2,9,11,4,10,6,20,12,7,0,16,21,8,15,19,18;0;76707
NearestNeighborhood;data/FIS22-2.txt;22;16,19,3,10,6,12,7,11,5,2,9,18,14,21,1,13,8,15,4,20,0,17;0;84642
NearestNeighborhood;data/FIS22-3.txt;22;5,21,6,12,15,9,0,7,1,3,19,13,4,11,2,10,16,14,17,8,20,18;0;58837
NearestNeighborhood;data/FIS22-4.txt;22;3,18,13,19,20,2,16,5,14,0,11,17,9,12,6,21,4,1,8,10,7,15;0;62815
NearestNeighborhood;data/FIS23-0.txt;23;4,13,6,1,12,3,19,11,14,22,5,7,17,0,15,16,2,21,10,9,18,8,20;0;70423
NearestNeighborhood;data/FIS23-1.txt;23;15,3,22,6,18,4,2,13,9,12,16,11,20,17,7,1,10,5,0,14,21,8,19;0;58869
NearestNeighborhood;data/FIS23-2.txt;23;17,7,5,11,2,10,1,21,18,14,8,19,6,22,12,4,20,9,13,3,0,15,16;0;69500
NearestNeighborhood;data/FIS23-3.txt;23;17,0,16,21,7,1,8,10,22,14,9,4,15,12,3,20,13,2,19,5,11,6,18;0;92875
NearestNeighborhood;data/FIS23-4.txt;23;1,16,9,20,4,22,15,5,17,18,12,0,3,7,19,21,14,8,6,13,11,10,2;0;54665
NearestNeighborhood;data/FIS24-0.txt;24;1,15,14,22,8,7,16,4,19,9,2,13,6,3,17,0,5,20,11,10,18,23,12,21;0;104887
NearestNeighborhood;data/FIS24-1.txt;24;17,12,6,16,8,3,7,18,15,0,1,14,13,5,23,10,19,4,20,21,11,22,9,2;0;84750
NearestNeighborhood;data/FIS24-2.txt;24;23,0,9,11,19,17,21,18,7,4,10,13,14,22,1,8,3,2,6,20,12,16,15,5;0;72882
NearestNeighborhood;data/FIS24-3.txt;24;22,0,7,15,21,11,23,12,13,14,8,16,6,17,18,3,2,1,9,5,4,20,10,19;0;67864
NearestNeighborhood;data/FIS24-4.txt;24;7,16,9,17,6,21,1,14,13,4,15,8,5,12,10,20,19,18,3,11,22,2,23,0;0;73870
CheapestInsertion;data/FIS5-0.txt;5;1,2,0,3,4;0;18430
CheapestInsertion;data/FIS5-1.txt;5;0,4,2,3,1;0;22351
CheapestInsertion;data/FIS5-2.txt;5;0,1,4,2,3;0;15356
CheapestInsertion;data/FIS5-3.txt;5;0,3,2,4,1;0;21245
CheapestInsertion;data/FIS5-4.txt;5;0,2,3,4,1;0;19418
CheapestInsertion;data/FIS6-0.txt;6;0,4,3,5,2,1;0;15576
CheapestInsertion;data/FIS6-1.txt;6;0,5,4,2,3,1;0;19436
CheapestInsertion;data/FIS6-2.txt;6;0,2,3,5,4,1;0;23991
CheapestInsertion;data/FIS6-3.txt;6;1,4,2,0,5,3;0;13819
CheapestInsertion;data/FIS6-4.txt;6;0,5,3,1,2,4;0;16139
CheapestInsertion;data/FIS7-0.txt;7;0,5,3,6,2,4,1;0;16586
CheapestInsertion;data/FIS7-1.txt;7;0,2,6,1,4,5,3;0;20251
CheapestInsertion;data/FIS7-2.txt;7;2,0,5,6,4,3,1;0;8243
CheapestInsertion;data/FIS7-3.txt;7;3,4,0,6,1,2,5;0;19671
